What is your biggest problem?,Occupation_Other,District,Month,Gender,Age,Are you satisfied with what NGOs are doing for you after the earthquake?,Are your main problems being addressed?,Are your main problems being addressed2?,What is the top thing that you need information about?,Is support provided in a fair way?,Do_you_have_any_health_problem,C0JS,Date,Ward,Ethnicity_Other,Round,Ethnicity,Occupation
Short-term shelter (tent / shelterbox),homemaker,Bhaktapur,7,Female,40 to 54,1 Not at all,1 Not at all,1 Not at all,How to get shelter materials,6 Don't know,No difficulty.,1 Not at all,16/07/15,2,NA,1,Newar,Other
Long term shelter / housing,NA,Bhaktapur,7,Male,40 to 54,1 Not at all,1 Not at all,1 Not at all,NA,1 Not at all,"Yes, some difficulty.",6 Don't know,16/07/15,2,NA,1,Chhetri,"Government (i.e. teacher, health worker, army)"
Long term shelter / housing,NA,Bhaktapur,7,Female,25 to 39,1 Not at all,1 Not at all,1 Not at all,NA,1 Not at all,No difficulty.,4 Mostly yes,16/07/15,2,NA,1,Chhetri,NGO Worker / Business
Long term shelter / housing,homemaker,Bhaktapur,7,Female,40 to 54,6 Don't know,1 Not at all,1 Not at all,News about government decisions,6 Don't know,No difficulty.,1 Not at all,16/07/15,2,NA,1,Brahmin,Other
NA,NA,Bhaktapur,7,Male,55+,4 Mostly yes,4 Mostly yes,2 Very little,How to get shelter materials,6 Don't know,No difficulty.,2 Very little,16/07/15,6,NA,1,Newar,Skilled Worker (i.e. Carpenter)
Long term shelter / housing,NA,Bhaktapur,7,Male,25 to 39,1 Not at all,1 Not at all,1 Not at all,NA,2 Very little,No difficulty.,4 Mostly yes,16/07/15,4,NA,1,Newar,Farmer / Laborer
NA,NA,Bhaktapur,7,Female,40 to 54,1 Not at all,4 Mostly yes,1 Not at all,News about government decisions,4 Mostly yes,No difficulty.,1 Not at all,16/07/15,6,NA,1,Newar,Skilled Worker (i.e. Carpenter)
Long term shelter / housing,NA,Bhaktapur,7,Male,55+,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,1 Not at all,17/07/15,3,NA,1,Newar,Farmer / Laborer
Short-term shelter (tent / shelterbox),Businessman,Bhaktapur,7,Male,Refused,1 Not at all,1 Not at all,1 Not at all,News about government decisions,6 Don't know,No difficulty.,1 Not at all,15/07/15,3,NA,1,Newar,Other
Short-term shelter (tent / shelterbox),homemaker,Bhaktapur,7,Female,40 to 54,6 Don't know,1 Not at all,1 Not at all,How to get shelter materials,6 Don't know,No difficulty.,1 Not at all,15/07/15,3,NA,1,Newar,Other
Food,housewife,Bhaktapur,7,Female,25 to 39,4 Mostly yes,1 Not at all,2 Very little,How to get shelter materials,1 Not at all,No difficulty.,1 Not at all,15/07/15,3,NA,1,Newar,Other
Clean water,NA,Bhaktapur,7,Male,25 to 39,2 Very little,1 Not at all,1 Not at all,News about government decisions,5 Completely yes,"Yes, some difficulty.",1 Not at all,17/07/15,5,NA,1,Newar,Skilled Worker (i.e. Carpenter)
Long term shelter / housing,housewife,Bhaktapur,7,Female,25 to 39,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,1 Not at all,18/07/15,3,NA,1,Dalit,Other
Long term shelter / housing,homemaker,Bhaktapur,7,Female,25 to 39,1 Not at all,1 Not at all,1 Not at all,News about government decisions,6 Don't know,"Yes, some difficulty.",1 Not at all,18/07/15,3,NA,1,Chhetri,Other
Long term shelter / housing,NA,Bhaktapur,7,Female,15 to 24,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,18/07/15,3,NA,1,Tamang,Skilled Worker (i.e. Carpenter)
NA,NA,Bhaktapur,7,Male,25 to 39,6 Don't know,4 Mostly yes,4 Mostly yes,NA,5 Completely yes,No difficulty.,4 Mostly yes,18/07/15,3,NA,1,Newar,Skilled Worker (i.e. Carpenter)
Long term shelter / housing,NA,Bhaktapur,7,Male,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,4 Mostly yes,No difficulty.,2 Very little,19/07/15,4,NA,1,Newar,Farmer / Laborer
Long term shelter / housing,housewife,Bhaktapur,7,Female,25 to 39,2 Very little,1 Not at all,1 Not at all,News about government decisions,2 Very little,No difficulty.,1 Not at all,19/07/15,4,NA,1,Brahmin,Other
Long term shelter / housing,housewife,Bhaktapur,7,Female,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,6 Don't know,No difficulty.,1 Not at all,19/07/15,4,NA,1,Brahmin,Other
Long term shelter / housing,NA,Bhaktapur,7,Male,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,1 Not at all,18/07/15,4,NA,1,Newar,Farmer / Laborer
