Question,Location,Gender,Age,Answer,Count
What is the top thing that you need information about?,Kavrepalanchok,NA,40 to 54,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,NA,40 to 54,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,NA,40 to 54,NA,0
What is the top thing that you need information about?,Kavrepalanchok,NA,40 to 54,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,NA,40 to 54,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,NA,40 to 54,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,NA,40 to 54,Others,0
What is the top thing that you need information about?,Kavrepalanchok,NA,40 to 54,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,NA,Refused,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,NA,Refused,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,NA,Refused,NA,0
What is the top thing that you need information about?,Kavrepalanchok,NA,Refused,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,NA,Refused,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,NA,Refused,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,NA,Refused,Others,0
What is the top thing that you need information about?,Kavrepalanchok,NA,Refused,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,NA,don't Know,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,NA,don't Know,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,NA,don't Know,NA,0
What is the top thing that you need information about?,Kavrepalanchok,NA,don't Know,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,NA,don't Know,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,NA,don't Know,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,NA,don't Know,Others,0
What is the top thing that you need information about?,Kavrepalanchok,NA,don't Know,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,NA,25 to 39,How to get healthcare psychosocial support,0
